smiles,ac,amw,mol,is_463
CC1=NN(c2ccccc2)C(=O)C1,13,174.2030029296875,CC1=NN(c2ccccc2)C(=O)C1,0
O=[N+]([O-])c1ccc2cccnc2c1,13,174.15899658203125,O=[N+]([O-])c1ccc2cccnc2c1,0
C1=NCCc2ccccc21,10,131.17799377441406,C1=NCCc2ccccc21,0
CC(C)(C)OC(=O)N1CCC2(CC(=O)C2)C1,16,225.28799438476562,CC(C)(C)OC(=O)N1CCC2(CC(=O)C2)C1,0
C1CC2OC2CC1C1CO1,10,140.1820068359375,C1CC2OC2CC1C1CO1,0
Clc1nsc2ccccc12,10,169.63600158691406,Clc1nsc2ccccc12,0
c1ccc2nsnc2c1,9,136.1790008544922,c1ccc2nsnc2c1,0
O=C1N[C@@H](Cc2ccccc2)CO1,13,177.2030029296875,O=C1N[C@@H](Cc2ccccc2)CO1,0
O=S(=O)(c1ccccc1)n1cccc1,14,207.25399780273438,O=S(=O)(c1ccccc1)n1cccc1,0
C[Si](C)(C)CC#N,7,113.23600006103516,C[Si](C)(C)CC#N,0
O=S1(=O)CCCC1,7,120.1729965209961,O=S1(=O)CCCC1,0
C=CCSSCC=C,8,146.27999877929688,C=CCSSCC=C,0
CC(=O)/C=C/c1cccs1,10,152.21800231933594,CC(=O)/C=C/c1cccs1,0
CC(C)(C)OC(=O)n1cc(C=O)cn1,14,196.20599365234375,CC(C)(C)OC(=O)n1cc(C=O)cn1,0
COC(=O)c1ccc(CCl)o1,11,174.58299255371094,COC(=O)c1ccc(CCl)o1,0
C1=Cc2cccc3cccc1c23,12,152.1959991455078,C1=Cc2cccc3cccc1c23,0
CS(C)=O,4,78.13600158691406,CS(C)=O,0
Cc1cc[n+]([O-])cc1,8,109.12799835205078,Cc1cc[n+]([O-])cc1,0
Cc1ccc(S)cc1,8,124.20800018310547,Cc1ccc(S)cc1,0
CC(C)(C)OC(=O)N1CC2(CC(=O)C2)C1,15,211.26100158691406,CC(C)(C)OC(=O)N1CC2(CC(=O)C2)C1,0
c1ccc2c(c1)CCNC2,10,133.19400024414062,c1ccc2c(c1)CCNC2,0
c1ccc2cnccc2c1,10,129.16200256347656,c1ccc2cnccc2c1,0
C1CNC1,4,57.09600067138672,C1CNC1,0
CC1COC(=O)O1,7,102.08899688720703,CC1COC(=O)O1,0
CC(=O)N1CCCNCC1,10,142.20199584960938,CC(=O)N1CCCNCC1,0
C=Cc1cccnc1,8,105.13999938964844,C=Cc1cccnc1,0
O=NN1CCOCC1,8,116.12000274658203,O=NN1CCOCC1,0
FC(F)(F)C1CO1,7,112.05000305175781,FC(F)(F)C1CO1,0
c1ccn2nccc2c1,9,118.13899993896484,c1ccn2nccc2c1,0
